Raio,Ângulo,Lados,Tempo (ms)
10,90,3,20
10,90,4,10
10,90,5,30
10,90,6,20
10,90,7,40
10,90,8,30
10,90,9,40
10,90,10,30
10,90,11,40
10,90,12,50
10,90,13,60
10,90,14,50
20,90,3,20
20,90,4,20
20,90,5,30
20,90,6,30
20,90,7,30
20,90,8,35
20,90,9,40
20,90,10,50
20,90,11,50
20,90,12,50
20,90,13,60
20,90,14,60
30,90,3,20
30,90,4,30
30,90,5,30
30,90,6,40
30,90,7,40
30,90,8,40
30,90,9,50
30,90,10,55
30,90,11,55
30,90,12,50
30,90,13,60
30,90,14,70
40,90,3,30
40,90,4,30
40,90,5,35
40,90,6,40
40,90,7,45
40,90,8,50
40,90,9,50
40,90,10,60
40,90,11,60
40,90,12,65
40,90,13,65
40,90,14,70
50,90,3,35
50,90,4,35
50,90,5,40
50,90,6,45
50,90,7,50
50,90,8,55
50,90,9,50
50,90,10,65
50,90,11,65
50,90,12,71
50,90,13,70
50,90,14,73
60,90,3,39
60,90,4,40
60,90,5,43
60,90,6,50
60,90,7,54
60,90,8,60
60,90,9,60
60,90,10,67
60,90,11,68
60,90,12,70
60,90,13,66
60,90,14,69
70,90,3,40
70,90,4,49
70,90,5,51
70,90,6,50
70,90,7,60
70,90,8,60
70,90,9,70
70,90,10,70
70,90,11,75
70,90,12,75
70,90,13,75
70,90,14,80
80,90,3,40
80,90,4,45
80,90,5,50
80,90,6,60
80,90,7,65
80,90,8,70
80,90,9,65
80,90,10,80
80,90,11,70
80,90,12,90
80,90,13,89
80,90,14,81
90,90,3,50
90,90,4,50
90,90,5,60
90,90,6,70
90,90,7,65
90,90,8,65
90,90,9,70
90,90,10,90
90,90,11,80
90,90,12,85
90,90,13,75
90,90,14,100
100,90,3,50
100,90,4,55
100,90,5,65
100,90,6,60
100,90,7,80
100,90,8,80
100,90,9,81
100,90,10,83
100,90,11,89
100,90,12,87
100,90,13,85
100,90,14,95
110,90,3,60
110,90,4,57
110,90,5,68
110,90,6,73
110,90,7,77
110,90,8,77
110,90,9,81
110,90,10,91
110,90,11,91
110,90,12,99
110,90,13,96
110,90,14,101
