Raio,Ângulo,Lados,Tempo (ms)
10,0,5,28
20,0,5,23
30,0,5,36
40,0,5,35
50,0,5,48
60,0,5,43
70,0,5,55
80,0,5,54
90,0,5,61
100,0,5,65
110,0,5,67
10,15,5,23
20,15,5,30
30,15,5,30
40,15,5,40
50,15,5,44
60,15,5,46
70,15,5,50
80,15,5,59
90,15,5,58
100,15,5,62
110,15,5,66
10,30,5,24
20,30,5,21
30,30,5,39
40,30,5,31
50,30,5,50
60,30,5,40
70,30,5,55
80,30,5,55
90,30,5,64
100,30,5,66
110,30,5,70
10,45,5,20
20,45,5,30
30,45,5,34
40,45,5,36
50,45,5,40
60,45,5,50
70,45,5,50
80,45,5,50
90,45,5,60
100,45,5,69
110,45,5,66
10,60,5,20
20,60,5,30
30,60,5,40
40,60,5,29
50,60,5,50
60,60,5,40
70,60,5,51
80,60,5,60
90,60,5,59
100,60,5,71
110,60,5,70
10,75,5,20
20,75,5,30
30,75,5,30
40,75,5,34
50,75,5,46
60,75,5,40
70,75,5,60
80,75,5,50
90,75,5,60
100,75,5,70
110,75,5,70
10,90,5,20
20,90,5,30
30,90,5,30
40,90,5,39
50,90,5,41
60,90,5,50
70,90,5,50
80,90,5,50
90,90,5,60
100,90,5,69
110,90,5,71
10,105,5,20
20,105,5,30
30,105,5,30
40,105,5,40
50,105,5,40
60,105,5,50
70,105,5,50
80,105,5,50
90,105,5,70
100,105,5,59
110,105,5,71
10,120,5,30
20,120,5,19
30,120,5,41
40,120,5,30
50,120,5,40
60,120,5,50
70,120,5,50
80,120,5,50
90,120,5,60
100,120,5,70
110,120,5,70
10,135,5,20
20,135,5,30
30,135,5,30
40,135,5,40
50,135,5,40
60,135,5,40
70,135,5,50
80,135,5,60
90,135,5,60
100,135,5,70
110,135,5,70
10,150,5,20
20,150,5,30
30,150,5,30
40,150,5,40
50,150,5,40
60,150,5,50
70,150,5,50
80,150,5,60
90,150,5,60
100,150,5,60
110,150,5,70
10,165,5,20
20,165,5,35
30,165,5,25
40,165,5,40
50,165,5,40
60,165,5,50
70,165,5,50
80,165,5,50
90,165,5,60
100,165,5,70
110,165,5,70
10,180,5,25
20,180,5,25
30,180,5,30
40,180,5,40
50,180,5,45
60,180,5,45
70,180,5,50
80,180,5,50
90,180,5,60
100,180,5,65
110,180,5,75
10,195,5,20
20,195,5,30
30,195,5,30
40,195,5,40
50,195,5,40
60,195,5,50
70,195,5,50
80,195,5,60
90,195,5,60
100,195,5,60
110,195,5,70
10,210,5,20
20,210,5,30
30,210,5,40
40,210,5,30
50,210,5,45
60,210,5,45
70,210,5,60
80,210,5,55
90,210,5,65
100,210,5,60
110,210,5,70
10,225,5,20
20,225,5,35
30,225,5,30
40,225,5,35
50,225,5,45
60,225,5,40
70,225,5,50
80,225,5,65
90,225,5,60
100,225,5,65
110,225,5,70
10,240,5,20
20,240,5,30
30,240,5,30
40,240,5,40
50,240,5,40
60,240,5,50
70,240,5,50
80,240,5,60
90,240,5,50
100,240,5,71
110,240,5,69
10,255,5,20
20,255,5,30
30,255,5,35
40,255,5,35
50,255,5,45
60,255,5,40
70,255,5,50
80,255,5,55
90,255,5,60
100,255,5,65
110,255,5,65
10,270,5,30
20,270,5,20
30,270,5,30
40,270,5,40
50,270,5,40
60,270,5,50
70,270,5,55
80,270,5,55
90,270,5,60
100,270,5,65
110,270,5,70
10,285,5,20
20,285,5,30
30,285,5,20
40,285,5,41
50,285,5,44
60,285,5,45
70,285,5,50
80,285,5,61
90,285,5,59
100,285,5,60
110,285,5,70
10,300,5,30
20,300,5,25
30,300,5,35
40,300,5,30
50,300,5,50
60,300,5,42
70,300,5,48
80,300,5,60
90,300,5,55
100,300,5,70
110,300,5,70
10,315,5,20
20,315,5,30
30,315,5,35
40,315,5,40
50,315,5,40
60,315,5,45
70,315,5,40
80,315,5,60
90,315,5,50
100,315,5,70
110,315,5,70
10,330,5,20
20,330,5,25
30,330,5,30
40,330,5,40
50,330,5,40
60,330,5,50
70,330,5,55
80,330,5,55
90,330,5,60
100,330,5,60
110,330,5,70
10,345,5,20
20,345,5,30
30,345,5,33
40,345,5,37
50,345,5,40
60,345,5,50
70,345,5,50
80,345,5,50
90,345,5,60
100,345,5,60
110,345,5,70
