Raio,Ângulo,Lados,Tempo (ms)
100,0,3,55
100,0,4,45
100,0,5,60
100,0,6,60
100,0,7,80
100,0,8,75
100,0,9,80
100,0,10,80
100,0,11,81
100,0,12,91
100,0,13,88
100,0,14,90
100,15,3,40
100,15,4,60
100,15,5,60
100,15,6,70
100,15,7,70
100,15,8,80
100,15,9,80
100,15,10,80
100,15,11,80
100,15,12,95
100,15,13,85
100,15,14,100
100,30,3,52
100,30,4,58
100,30,5,60
100,30,6,75
100,30,7,65
100,30,8,80
100,30,9,70
100,30,10,90
100,30,11,80
100,30,12,90
100,30,13,90
100,30,14,90
100,45,3,52
100,45,4,58
100,45,5,60
100,45,6,70
100,45,7,70
100,45,8,75
100,45,9,75
100,45,10,80
100,45,11,85
100,45,12,80
100,45,13,95
100,45,14,100
100,60,3,48
100,60,4,50
100,60,5,70
100,60,6,65
100,60,7,70
100,60,8,75
100,60,9,80
100,60,10,83
100,60,11,77
100,60,12,90
100,60,13,95
100,60,14,85
100,75,3,54
100,75,4,56
100,75,5,50
100,75,6,70
100,75,7,70
100,75,8,80
100,75,9,80
100,75,10,80
100,75,11,75
100,75,12,90
100,75,13,90
100,75,14,100
100,90,3,50
100,90,4,55
100,90,5,65
100,90,6,65
100,90,7,70
100,90,8,75
100,90,9,80
100,90,10,80
100,90,11,80
100,90,12,90
100,90,13,100
100,90,14,90
100,105,3,50
100,105,4,50
100,105,5,60
100,105,6,65
100,105,7,60
100,105,8,70
100,105,9,70
100,105,10,80
100,105,11,80
100,105,12,90
100,105,13,90
100,105,14,100
100,120,3,50
100,120,4,60
100,120,5,60
100,120,6,70
100,120,7,70
100,120,8,76
100,120,9,69
100,120,10,75
100,120,11,90
100,120,12,90
100,120,13,90
100,120,14,90
100,135,3,50
100,135,4,50
100,135,5,70
100,135,6,65
100,135,7,65
100,135,8,80
100,135,9,80
100,135,10,80
100,135,11,90
100,135,12,90
100,135,13,90
100,135,14,90
100,150,3,50
100,150,4,60
100,150,5,70
100,150,6,60
100,150,7,70
100,150,8,80
100,150,9,80
100,150,10,80
100,150,11,85
100,150,12,85
100,150,13,90
100,150,14,100
100,165,3,50
100,165,4,50
100,165,5,70
100,165,6,70
100,165,7,70
100,165,8,76
100,165,9,79
100,165,10,75
100,165,11,80
100,165,12,95
100,165,13,95
100,165,14,90
100,180,3,40
100,180,4,50
100,180,5,70
100,180,6,65
100,180,7,70
100,180,8,75
100,180,9,80
100,180,10,80
100,180,11,85
100,180,12,85
100,180,13,90
100,180,14,100
100,195,3,50
100,195,4,60
100,195,5,60
100,195,6,70
100,195,7,70
100,195,8,80
100,195,9,75
100,195,10,85
100,195,11,80
100,195,12,85
100,195,13,95
100,195,14,90
100,210,3,55
100,210,4,60
100,210,5,65
100,210,6,65
100,210,7,70
100,210,8,75
100,210,9,80
100,210,10,80
100,210,11,80
100,210,12,80
100,210,13,90
100,210,14,90
100,225,3,40
100,225,4,60
100,225,5,60
100,225,6,60
100,225,7,70
100,225,8,75
100,225,9,75
100,225,10,80
100,225,11,80
100,225,12,85
100,225,13,95
100,225,14,91
100,240,3,50
100,240,4,59
100,240,5,60
100,240,6,75
100,240,7,70
100,240,8,75
100,240,9,80
100,240,10,81
100,240,11,84
100,240,12,86
100,240,13,90
100,240,14,100
100,255,3,49
100,255,4,60
100,255,5,61
100,255,6,60
100,255,7,69
100,255,8,71
100,255,9,69
100,255,10,80
100,255,11,91
100,255,12,90
100,255,13,91
100,255,14,99
100,270,3,49
100,270,4,55
100,270,5,55
100,270,6,70
100,270,7,70
100,270,8,75
100,270,9,75
100,270,10,81
100,270,11,89
100,270,12,80
100,270,13,91
100,270,14,100
100,285,3,49
100,285,4,60
100,285,5,66
100,285,6,64
100,285,7,70
100,285,8,76
100,285,9,71
100,285,10,80
100,285,11,89
100,285,12,91
100,285,13,89
100,285,14,101
100,300,3,50
100,300,4,60
100,300,5,60
100,300,6,69
100,300,7,70
100,300,8,80
100,300,9,71
100,300,10,80
100,300,11,84
100,300,12,90
100,300,13,86
100,300,14,104
100,315,3,45
100,315,4,60
100,315,5,66
100,315,6,59
100,315,7,65
100,315,8,81
100,315,9,79
100,315,10,81
100,315,11,80
100,315,12,80
100,315,13,95
100,315,14,94
100,330,3,51
100,330,4,59
100,330,5,61
100,330,6,59
100,330,7,70
100,330,8,80
100,330,9,80
100,330,10,81
100,330,11,90
100,330,12,89
100,330,13,91
100,330,14,100
100,345,3,50
100,345,4,55
100,345,5,65
100,345,6,65
100,345,7,69
100,345,8,76
100,345,9,79
100,345,10,75
100,345,11,86
100,345,12,90
100,345,13,90
100,345,14,90
